Frame,DeltaTime,ComputeTime,RenderTime
0,0.0575586,0.0413371,0.0157978
1,0.0576304,0.0412063,0.0155358
2,0.0582435,0.0415979,0.0162963
3,0.0578559,0.0416101,0.0158677
4,0.0580255,0.0416068,0.0160724
5,0.0579585,0.041918,0.0156599
6,0.0573914,0.0415308,0.0155037
7,0.0572961,0.041708,0.0152337
8,0.0578244,0.0417159,0.0157483
9,0.0597436,0.0416538,0.0176699
10,0.064228,0.0422118,0.0216085
11,0.0576968,0.0392656,0.0175635
12,0.0582029,0.0418679,0.0159921
13,0.0580094,0.0421375,0.0155333
14,0.0578736,0.0420336,0.0154873
15,0.0580719,0.0417678,0.0159571
16,0.0574702,0.0419717,0.0151612
17,0.0578476,0.0415965,0.0158956
18,0.0583543,0.0420546,0.0159495
19,0.0581929,0.0417668,0.0159767
20,0.0579896,0.0418865,0.015747
21,0.0574899,0.0417319,0.0154119
22,0.0578744,0.0417695,0.0157566
23,0.0578627,0.0418536,0.0155668
24,0.0574908,0.0415858,0.015549
25,0.0587032,0.0419991,0.016359
26,0.0580001,0.0419296,0.0157225
27,0.058056,0.041819,0.0158901
28,0.0581453,0.0418802,0.0159097
29,0.0581568,0.0419889,0.0158233
30,0.0576732,0.0418377,0.0154643
31,0.0577775,0.0416265,0.0158097
32,0.0574239,0.0416351,0.0154383
33,0.0578773,0.0418887,0.0156493
34,0.0580757,0.0419102,0.015815
35,0.0576764,0.0416915,0.0156329
36,0.0581711,0.0418587,0.0159577
37,0.057956,0.0418544,0.0156642
38,0.0578908,0.0420315,0.0155109
39,0.0576245,0.0415588,0.0156779
40,0.0579012,0.0418522,0.0156977
41,0.0575794,0.0416848,0.0155316
42,0.0575615,0.041647,0.0155597
43,0.0578213,0.0417611,0.0157145
44,0.057813,0.0419259,0.0155327
45,0.0574788,0.0419125,0.015211
46,0.0576141,0.0418327,0.0154391
47,0.0576605,0.0416235,0.0156878
48,0.0575591,0.0415766,0.0156327
49,0.0579717,0.0417795,0.0158252
50,0.0575589,0.0415904,0.0156151
51,0.0577436,0.0415348,0.0158155
52,0.0569011,0.0406487,0.0159078
53,0.0580596,0.0419319,0.0157757
54,0.0584463,0.0419785,0.0161228
55,0.058034,0.0419462,0.0154634
56,0.0579084,0.0417194,0.0158109
57,0.0598388,0.0419081,0.0171798
58,0.0583727,0.0420932,0.0159322
59,0.0578866,0.0417993,0.0156698
60,0.0582857,0.0419861,0.0153479
