Frame,DeltaTime,ComputeTime,RenderTime
0,0.0130997,0.0081812,0.0045683
1,0.013148,0.0082877,0.0045495
2,0.0145683,0.0082461,0.0060014
3,0.0134905,0.0082415,0.0049346
4,0.0131658,0.0082843,0.004573
5,0.0131866,0.008251,0.0046363
6,0.0133932,0.0082108,0.0047889
7,0.0133348,0.0081955,0.0048276
8,0.0134904,0.008322,0.0048445
9,0.0134519,0.0082498,0.0048954
10,0.0134692,0.0083013,0.0048324
11,0.0135466,0.0084232,0.0047866
12,0.0133271,0.0082585,0.0047554
13,0.0134297,0.0083308,0.0047673
14,0.0131324,0.0083659,0.0044577
15,0.0135413,0.0083512,0.0047974
16,0.0143844,0.0082355,0.0048416
17,0.0135868,0.0080584,0.0044932
18,0.0138295,0.0080742,0.0048413
19,0.0140406,0.0080765,0.0049544
20,0.0139318,0.0081248,0.0048398
21,0.0137722,0.0080901,0.0047838
22,0.014066,0.0080496,0.0046848
23,0.0142179,0.0080663,0.0048624
24,0.0140108,0.0080713,0.0047657
25,0.0139768,0.0080266,0.0047164
26,0.0139105,0.0081073,0.0048436
27,0.01377,0.0081151,0.0047701
28,0.0140249,0.0081029,0.0044895
29,0.013935,0.0080782,0.0049824
30,0.0138826,0.0080773,0.0045499
31,0.0136838,0.0080853,0.0045046
32,0.0143647,0.0080359,0.0046303
33,0.0130525,0.0081546,0.0045556
34,0.0135121,0.0082579,0.0049462
35,0.0135849,0.008228,0.0050377
36,0.0135118,0.0082189,0.0048229
37,0.0134397,0.0082626,0.0048633
38,0.0134651,0.008227,0.0049346
39,0.0133767,0.0082273,0.0048337
40,0.0130561,0.0082385,0.0045113
41,0.0134054,0.008216,0.0047579
42,0.0132579,0.0083514,0.0045706
43,0.0130708,0.0082131,0.0045512
44,0.0130663,0.0082873,0.0044755
45,0.0130757,0.0082456,0.0045268
46,0.0134535,0.0082586,0.004891
47,0.0131272,0.0081868,0.0046301
48,0.0134092,0.0082504,0.0048282
49,0.013445,0.0082275,0.0049131
50,0.013305,0.0081821,0.0048056
51,0.0134351,0.0083545,0.0047795
52,0.0132217,0.0082772,0.0046106
53,0.0131321,0.0082825,0.0045369
54,0.0129561,0.0082184,0.004456
55,0.0133565,0.0082095,0.0048374
56,0.013552,0.0083348,0.0049064
57,0.0134788,0.0082618,0.0049107
58,0.0135001,0.0083544,0.0048216
59,0.0131916,0.008219,0.0046489
60,0.0137715,0.0082123,0.0048875
61,0.0133501,0.0082796,0.0047687
62,0.0132918,0.0082434,0.0047198
63,0.0132263,0.0081762,0.004754
64,0.0132906,0.0082105,0.0047745
65,0.0133525,0.0082972,0.0047411
66,0.013235,0.00822,0.0047099
67,0.0136077,0.0082432,0.0049814
68,0.0136268,0.008211,0.0050828
69,0.0131013,0.0082716,0.0045199
70,0.0133835,0.008227,0.0048538
71,0.0134782,0.0082424,0.0048132
72,0.0134584,0.0082574,0.0048514
73,0.0132353,0.0082232,0.0047043
74,0.0132267,0.0082446,0.0046714
75,0.0131284,0.0082332,0.0045904
76,0.0134061,0.0082618,0.0048319
77,0.0135672,0.0083761,0.0048778
78,0.0134321,0.0082137,0.0049059
79,0.0133495,0.0082304,0.0048166
80,0.013225,0.0083097,0.0046098
81,0.0133672,0.0081951,0.0047504
82,0.0133859,0.0081556,0.0049267
83,0.0134481,0.0083397,0.0047767
84,0.0135114,0.0081836,0.0050075
85,0.0134504,0.0082683,0.0048773
86,0.0133856,0.0082194,0.0048532
87,0.0133468,0.0082284,0.0048002
88,0.0134298,0.0082181,0.0048918
89,0.0134707,0.0082447,0.0049265
90,0.0130989,0.0082271,0.0045504
91,0.0132174,0.0082412,0.0046694
92,0.0133589,0.0082468,0.0048034
93,0.0133884,0.0082485,0.0048116
94,0.0134797,0.0082824,0.0048689
95,0.0131654,0.0082315,0.0045254
96,0.0131121,0.0081506,0.0046365
97,0.0134727,0.008267,0.0048887
98,0.013403,0.0082762,0.0048023
99,0.0132436,0.0081769,0.0047622
100,0.0132619,0.0083238,0.0046322
101,0.0132153,0.0081843,0.0046197
102,0.0131208,0.0082333,0.0045884
103,0.0134273,0.0082328,0.0049157
104,0.0135051,0.0082735,0.0048718
105,0.0135853,0.0083201,0.0049557
106,0.0133091,0.0081987,0.0048002
107,0.0133604,0.0082086,0.0048354
108,0.0132746,0.008235,0.0047169
109,0.0133267,0.0082016,0.0048161
110,0.0134089,0.0082934,0.0048132
111,0.0134763,0.0082594,0.0048869
112,0.0134197,0.0082977,0.0048207
113,0.0135211,0.0082857,0.0049217
114,0.0132439,0.0082407,0.0046782
115,0.0132543,0.0083099,0.0046349
116,0.0133352,0.0082886,0.0047131
117,0.0131998,0.0084346,0.0044571
118,0.0134449,0.0082202,0.004916
119,0.0131727,0.0082476,0.0045166
120,0.01337,0.008171,0.0048709
121,0.0132274,0.0082345,0.0046684
122,0.0131576,0.0082421,0.0045825
123,0.0135116,0.0083554,0.0048288
124,0.0132265,0.0080377,0.0047411
125,0.0133614,0.0083562,0.0046081
126,0.0132937,0.0083208,0.0046522
127,0.0130288,0.0082207,0.0045099
128,0.0132056,0.0081322,0.0047497
129,0.0134516,0.00829,0.0048382
130,0.0133101,0.0083267,0.0046598
131,0.0132047,0.0081831,0.0045213
132,0.0134299,0.0082706,0.0048284
133,0.0131482,0.0082667,0.0045605
134,0.0133392,0.0081953,0.0048389
135,0.0131542,0.0082915,0.0045674
136,0.0133163,0.0082409,0.0047613
137,0.0132851,0.0083051,0.0046072
138,0.0133336,0.0083707,0.0046425
139,0.0134066,0.0082286,0.0048655
140,0.0134459,0.0082346,0.0048737
141,0.0133646,0.0082405,0.0048054
142,0.0134654,0.0083061,0.0048516
143,0.0133884,0.008248,0.0048406
144,0.0130029,0.0081983,0.0045021
145,0.0129102,0.0082113,0.0044074
146,0.0133627,0.0082539,0.0047818
147,0.0133049,0.0082527,0.0047387
148,0.0133862,0.0082664,0.0048005
149,0.0130299,0.0081768,0.0045367
150,0.0131537,0.0081867,0.0046698
151,0.0134696,0.0082344,0.0049366
152,0.013643,0.0082278,0.0048353
153,0.0129983,0.0082448,0.0044297
154,0.0134101,0.0082694,0.0048307
155,0.0133062,0.00821,0.0048191
156,0.0132619,0.0082802,0.0046638
157,0.0137504,0.0082112,0.0051898
158,0.0134728,0.0082722,0.0045212
159,0.0135631,0.0082837,0.0049473
160,0.0134332,0.0082178,0.0049317
161,0.0135202,0.008293,0.0047661
162,0.0133985,0.0082079,0.0048516
163,0.0133326,0.0082334,0.0048083
164,0.0132239,0.0082252,0.0047088
165,0.0131529,0.0083268,0.0045191
166,0.0131241,0.0082446,0.004571
167,0.0133879,0.0082826,0.0047711
168,0.013263,0.008159,0.0047989
169,0.0134835,0.0082621,0.0048985
170,0.0133905,0.0082522,0.0048296
171,0.0129879,0.0082113,0.0044672
172,0.0132911,0.0082336,0.0047403
173,0.0133731,0.0082602,0.0046595
174,0.0135596,0.0083008,0.0049216
175,0.0134624,0.0082544,0.0049029
176,0.0131546,0.0082052,0.0046484
177,0.0133644,0.0082515,0.0047837
178,0.013441,0.0083071,0.0048055
179,0.0139385,0.0082306,0.0053202
180,0.0133301,0.0082313,0.0047712
181,0.0134458,0.0082598,0.0048827
182,0.0135394,0.0082925,0.0048842
183,0.013493,0.0082732,0.0048918
184,0.0134247,0.0082262,0.0049023
185,0.0133167,0.008199,0.0048112
186,0.0132691,0.0082337,0.0047083
187,0.0133808,0.0083978,0.0046591
188,0.013239,0.0083294,0.004583
189,0.0130822,0.0082731,0.0045048
190,0.0129246,0.0082351,0.0043834
191,0.0133944,0.0082503,0.004718
192,0.0133159,0.008187,0.0048129
193,0.0131619,0.0082031,0.0046577
194,0.0131493,0.0082781,0.0045645
195,0.0135448,0.0082526,0.0048728
196,0.0129884,0.0082393,0.0044596
197,0.0130771,0.0082065,0.0045522
198,0.0133788,0.0082805,0.0047741
199,0.0132377,0.0081412,0.004792
200,0.0131168,0.0082567,0.004559
201,0.0133537,0.0082799,0.0047648
202,0.0129247,0.0082207,0.0043937
203,0.0134396,0.0083799,0.0047421
204,0.0132337,0.0082207,0.0046986
205,0.0176081,0.0107256,0.0063643
206,0.0195881,0.0130694,0.0060574
207,0.0138898,0.0084997,0.0049803
208,0.0147296,0.008378,0.0059385
209,0.0134788,0.0084064,0.0047106
210,0.0137189,0.0083696,0.0050022
211,0.0137741,0.0083025,0.004917
212,0.0173686,0.0084213,0.0060396
213,0.0153816,0.0086916,0.0062608
214,0.0155931,0.0083747,0.0064261
215,0.0150995,0.0094856,0.0050833
216,0.0133136,0.0083324,0.0046174
217,0.0138456,0.0084744,0.0049582
218,0.0138704,0.0086388,0.0048501
219,0.0148448,0.0082687,0.0049659
220,0.01348,0.0084453,0.0046731
221,0.013309,0.0082006,0.0047785
222,0.013065,0.0082656,0.0044978
223,0.0134881,0.0083387,0.004777
224,0.013488,0.0082687,0.0048952
225,0.0134015,0.0082544,0.0047937
226,0.013438,0.0083779,0.0047199
227,0.0133813,0.0081827,0.0048772
228,0.0135174,0.0082625,0.0047884
229,0.0134497,0.0082974,0.004816
230,0.0135186,0.0082871,0.004751
231,0.0135376,0.0083033,0.0048731
232,0.013197,0.0082598,0.004597
233,0.0139441,0.0083455,0.0051904
234,0.013729,0.0083636,0.0046449
235,0.0134304,0.0081909,0.004912
236,0.0136714,0.0082948,0.0050391
237,0.0131351,0.0082814,0.004499
238,0.0131992,0.0082523,0.0046053
239,0.0132871,0.0082612,0.0046938
240,0.0132626,0.0081943,0.0047432
241,0.012911,0.0081461,0.0044732
242,0.0134663,0.0082605,0.004889
243,0.0134045,0.0082589,0.0048396
244,0.0134321,0.0082381,0.0047752
245,0.0134547,0.008274,0.004874
246,0.0129666,0.0081099,0.0044674
247,0.0134055,0.0082878,0.0048075
248,0.0133179,0.0082338,0.0047873
249,0.0134563,0.008237,0.0047782
250,0.0133363,0.0082448,0.0047455
251,0.0134867,0.0082239,0.004952
252,0.0133503,0.0082361,0.0048287
253,0.0133793,0.0083211,0.0047413
254,0.0134844,0.0082658,0.0048844
255,0.013367,0.0082592,0.0047924
256,0.0137508,0.0083296,0.0050878
257,0.0133996,0.0082428,0.0048499
258,0.0133885,0.0082584,0.0048098
259,0.0135091,0.0082109,0.0048268
260,0.0133784,0.0082512,0.0048061
261,0.0133109,0.0082377,0.0047686
262,0.0133513,0.0083467,0.0046994
263,0.0134287,0.0081984,0.0047547
264,0.0132113,0.0081952,0.0046984
265,0.0133381,0.008227,0.0048057
266,0.0134947,0.0082706,0.0049006
267,0.0133743,0.0084409,0.0046174
268,0.0135012,0.0082205,0.0049327
269,0.0135599,0.008312,0.0049306
270,0.0131233,0.0082201,0.0045741
271,0.0135169,0.0082983,0.0048671
272,0.0131454,0.0082903,0.0045265
273,0.0129911,0.0082199,0.0044556
274,0.0130419,0.0082841,0.0044419
275,0.013083,0.0082115,0.0045719
276,0.0129709,0.0081977,0.0044588
277,0.0129875,0.0082537,0.004451
278,0.0133685,0.0082328,0.0048247
279,0.0134281,0.0082591,0.0047527
280,0.0133095,0.0082038,0.0048043
281,0.0133277,0.008206,0.0048103
282,0.0133696,0.0082813,0.0047679
283,0.0135221,0.0082523,0.0049404
284,0.0133376,0.0082645,0.0047405
285,0.0132519,0.0082627,0.0046626
286,0.0133701,0.0082304,0.0048116
287,0.013426,0.0082331,0.0048948
288,0.0133714,0.0082708,0.0048158
289,0.0132602,0.0082379,0.0046301
290,0.0134153,0.0082308,0.004858
291,0.0131329,0.0082864,0.0045348
292,0.0133967,0.0082625,0.0048211
293,0.0132917,0.0082793,0.004705
294,0.0133828,0.0082474,0.0047505
295,0.0134005,0.0082668,0.0048145
296,0.0130456,0.0081823,0.0045512
297,0.0130997,0.0082439,0.0045526
298,0.0131275,0.0082285,0.0046111
299,0.013477,0.0082944,0.0048551
300,0.0130389,0.0081903,0.0044299
301,0.0134398,0.0081677,0.0049608
302,0.0134094,0.0082184,0.0048711
303,0.0131194,0.0082319,0.004584
304,0.0133269,0.0082296,0.0047828
305,0.0132072,0.0082079,0.0046796
306,0.0131923,0.008255,0.0045146
307,0.0131668,0.0082455,0.0045886
308,0.013256,0.0083139,0.0046053
309,0.0130941,0.008254,0.004548
310,0.0135039,0.0082473,0.0047561
311,0.0134552,0.008271,0.0048512
312,0.0130086,0.0082537,0.0044518
313,0.0135819,0.0082179,0.0050587
314,0.0140867,0.0084142,0.005351
315,0.0134801,0.0083024,0.0048368
316,0.0135555,0.0082861,0.0049295
317,0.0131709,0.0082091,0.0046542
318,0.0131681,0.0082381,0.0046076
319,0.0131482,0.0082122,0.0046249
320,0.0131932,0.0081984,0.004678
321,0.0132273,0.0082193,0.0046921
322,0.0132883,0.0081649,0.004832
323,0.0136342,0.0082071,0.0051151
324,0.0133079,0.0082376,0.0047606
325,0.0134669,0.0081857,0.0049573
326,0.013493,0.0082327,0.0049364
327,0.0131232,0.0082826,0.0045318
328,0.0134562,0.0082701,0.004868
329,0.0131865,0.0082455,0.0045041
330,0.0133179,0.0082907,0.004723
331,0.0136903,0.0084473,0.0049317
332,0.0135482,0.0083538,0.0048718
333,0.013316,0.0082409,0.0047665
334,0.0135223,0.0082632,0.0048219
335,0.0134688,0.0082411,0.0049062
336,0.0132497,0.0081947,0.0047595
337,0.0131719,0.0082277,0.0046318
338,0.0133262,0.0083786,0.0046291
339,0.013476,0.0082275,0.0047988
340,0.0136401,0.0083481,0.0048818
341,0.013602,0.0084881,0.0046822
342,0.013096,0.0083096,0.0044571
343,0.0132796,0.0083579,0.0045939
344,0.0132511,0.008223,0.0047133
345,0.0130812,0.0082571,0.0045172
346,0.0131554,0.0083716,0.0044719
347,0.0134146,0.0082597,0.0048353
348,0.0134731,0.0083017,0.0048653
349,0.0133488,0.0082074,0.0048188
350,0.0132036,0.0082045,0.0046814
351,0.0130581,0.0082578,0.0044926
352,0.0130072,0.0082091,0.0045173
353,0.0135079,0.0082581,0.004938
354,0.0132408,0.0082501,0.0046788
355,0.0133527,0.0082203,0.0048178
356,0.013511,0.0083544,0.0048283
357,0.0132439,0.00824,0.0046939
358,0.0133017,0.0082792,0.0047372
359,0.0132264,0.008225,0.0047029
360,0.0134081,0.0082416,0.0048367
361,0.013139,0.0082112,0.0046195
362,0.0131702,0.0082315,0.0046319
363,0.01339,0.0083049,0.004779
364,0.0133234,0.0082474,0.0047531
365,0.0130558,0.0081962,0.0044087
366,0.0134175,0.0081998,0.0049261
367,0.0133382,0.0081641,0.0048212
368,0.0134539,0.0082238,0.0049142
369,0.0133453,0.0082736,0.0047727
370,0.013407,0.008295,0.0047943
371,0.0129813,0.008221,0.0044536
372,0.0135454,0.0081846,0.004876
373,0.0133925,0.0082847,0.0048001
374,0.0133669,0.008206,0.0048687
375,0.0131873,0.008227,0.0046477
376,0.0133218,0.0082271,0.0047733
377,0.013281,0.0081824,0.0047974
378,0.0129999,0.0082675,0.0044303
379,0.0131677,0.0082985,0.0044938
380,0.0135176,0.008241,0.0048467
381,0.0134002,0.0082282,0.0048532
382,0.0131718,0.0082591,0.0045991
383,0.0135334,0.0082808,0.0049294
384,0.013381,0.0083772,0.0047043
385,0.0135022,0.0082376,0.0048285
386,0.0133484,0.0082172,0.0048161
387,0.0134919,0.0081885,0.0050037
388,0.0134171,0.0082618,0.0048419
389,0.0135257,0.00825,0.0049469
390,0.0133068,0.0081771,0.0047987
391,0.013333,0.0081959,0.0048436
392,0.0132609,0.0082798,0.0046717
393,0.0134146,0.008196,0.0048964
394,0.0132975,0.0082127,0.0047827
395,0.0133654,0.0082426,0.0048099
396,0.0133214,0.0082313,0.0047879
397,0.0134404,0.0082263,0.0049081
398,0.0134225,0.0082644,0.0048546
399,0.0134399,0.0083167,0.0047788
400,0.0129367,0.0082101,0.0043807
401,0.0130906,0.0082511,0.0045514
402,0.0132358,0.0082141,0.0047109
403,0.0130083,0.0082465,0.0044521
404,0.0134391,0.0082734,0.0048745
405,0.0135875,0.0083227,0.0049293
406,0.013006,0.0082354,0.004442
407,0.0129924,0.0082302,0.0044566
408,0.0130818,0.0082201,0.0045773
409,0.0132807,0.0082466,0.0047353
410,0.0133857,0.0083253,0.0047437
411,0.0131664,0.0082232,0.00463
412,0.0134002,0.0081985,0.0048708
413,0.0135531,0.0082343,0.0050015
414,0.0135534,0.0082878,0.004883
415,0.0135034,0.0082478,0.0047872
416,0.013348,0.0081987,0.0048362
417,0.0132322,0.0082778,0.0046394
418,0.0134306,0.0082421,0.0048851
419,0.0131961,0.0082667,0.0046113
420,0.0132094,0.008236,0.004588
421,0.0130745,0.0083482,0.0044175
422,0.0135733,0.0083167,0.0049317
423,0.0134562,0.0082707,0.0048715
424,0.0130161,0.0082697,0.0044354
425,0.0133278,0.0082695,0.0047373
426,0.0130962,0.0082003,0.0045848
427,0.0134546,0.0084764,0.004671
428,0.0134646,0.0082136,0.0048828
429,0.013362,0.0082642,0.004805
430,0.0133249,0.0082781,0.0047403
431,0.0133358,0.0082056,0.0048244
