Frame,DeltaTime,ComputeTime,RenderTime
0,0.0076747,0.0039457,0.0032197
1,0.0076987,0.0041018,0.0032914
2,0.0076194,0.0041345,0.0031712
3,0.0074869,0.0040471,0.0031376
4,0.0075618,0.0040106,0.0031846
5,0.0075842,0.0040503,0.0032531
6,0.0075013,0.0040335,0.0031596
7,0.0074217,0.0040169,0.003126
8,0.0077152,0.0040918,0.00331
9,0.0078218,0.0040775,0.0034417
10,0.0076158,0.0040685,0.0032275
11,0.0074315,0.0040245,0.0031372
12,0.0077263,0.0040262,0.0032047
13,0.0075871,0.0039586,0.0033111
14,0.0074078,0.0040218,0.0030817
15,0.0075044,0.0040177,0.0031866
16,0.0076682,0.0040512,0.0033138
17,0.0075044,0.0039648,0.0032583
18,0.0077479,0.0039978,0.0033428
19,0.0075282,0.0040441,0.0031821
20,0.007675,0.0040878,0.0032578
21,0.0076063,0.0040413,0.0032273
22,0.007567,0.0039866,0.0031898
23,0.0077476,0.0041854,0.0032306
24,0.007752,0.0040896,0.0033318
25,0.0073769,0.0039221,0.0032189
26,0.0074805,0.0040078,0.0032008
27,0.0075052,0.0040439,0.0031734
28,0.0077062,0.0040578,0.0033376
29,0.0074381,0.0039391,0.0032293
30,0.0074841,0.0039636,0.0032187
31,0.0075182,0.0040559,0.0031765
32,0.0075416,0.004033,0.0032139
33,0.0075866,0.0040028,0.0032607
34,0.0075134,0.0039509,0.0032967
35,0.0076118,0.0040675,0.0032152
36,0.0076771,0.0040492,0.0032395
37,0.0075033,0.0039576,0.0031989
38,0.0074608,0.0039549,0.0032033
39,0.0075738,0.0040764,0.0031835
40,0.0076295,0.0040393,0.0031804
41,0.0075333,0.0039678,0.0032576
42,0.0074424,0.0039524,0.0032308
43,0.0075529,0.0040618,0.0031959
44,0.0076338,0.0040213,0.0032247
45,0.0083394,0.0040407,0.0033441
46,0.0073303,0.0038144,0.0032268
47,0.0085018,0.0041001,0.0032017
48,0.0074779,0.0039425,0.003212
49,0.0078425,0.0040486,0.0035063
50,0.0081695,0.0040994,0.0031681
51,0.0075113,0.0039468,0.0032348
52,0.0075362,0.0039598,0.0032915
53,0.0081576,0.0040528,0.0030871
54,0.007662,0.0039197,0.0031539
55,0.0074947,0.0039241,0.003243
56,0.0082154,0.0039452,0.0032815
57,0.007349,0.003901,0.003142
58,0.0084171,0.0041142,0.00315
59,0.0073143,0.003826,0.0031892
60,0.0074893,0.0039705,0.0032471
61,0.0075736,0.0040542,0.0032023
62,0.0081769,0.0040482,0.0032397
63,0.0073769,0.0038264,0.0031982
64,0.0075045,0.0039782,0.0032385
65,0.0074565,0.0040417,0.0031199
66,0.0076391,0.0041033,0.0032368
67,0.0074888,0.0039544,0.0032137
68,0.0080252,0.0039826,0.0031857
69,0.0073902,0.0038833,0.0032214
70,0.0075036,0.0040098,0.0031997
71,0.0078862,0.003937,0.0036532
72,0.0074293,0.0040275,0.0031256
73,0.0077614,0.0041609,0.0031918
74,0.0074132,0.0039779,0.00314
75,0.0075568,0.0039138,0.0033512
76,0.0075175,0.0040263,0.0032087
77,0.0084257,0.004091,0.0032729
78,0.0074889,0.0038882,0.0032916
79,0.0082878,0.0040337,0.0039603
80,0.0076063,0.0040514,0.0032764
81,0.007667,0.0041708,0.0031643
82,0.0074638,0.0039217,0.0032763
83,0.0075678,0.0041158,0.0031517
84,0.0083519,0.0040275,0.0031142
85,0.0080036,0.0038568,0.0032537
86,0.0077923,0.0038497,0.0031542
87,0.0081985,0.0039059,0.0031882
88,0.0079271,0.0038454,0.0032013
89,0.0085546,0.0038761,0.0032548
90,0.0086013,0.0039109,0.0031819
91,0.00808,0.0038607,0.003235
92,0.0080415,0.003865,0.0032185
93,0.0080895,0.0039158,0.003212
94,0.0081091,0.0038253,0.0033543
95,0.0080183,0.0040792,0.0030502
96,0.0079912,0.0039608,0.0030707
97,0.0079377,0.0038525,0.0033214
98,0.0080118,0.0038337,0.0031851
99,0.0083069,0.00396,0.003357
100,0.0081285,0.0038618,0.0033205
101,0.0082893,0.0039061,0.0032011
102,0.0080763,0.0039432,0.0032104
103,0.0078678,0.0038257,0.0032268
104,0.0080102,0.0038281,0.0032933
105,0.007976,0.0038953,0.003211
106,0.0083191,0.00383,0.0032137
107,0.0079754,0.0039367,0.0031878
108,0.0080527,0.0039083,0.0032264
109,0.00787,0.0038611,0.0031888
110,0.007876,0.0038455,0.0031358
111,0.0080797,0.0039132,0.0031499
112,0.0078966,0.0038429,0.0032219
113,0.007998,0.0037995,0.0032316
114,0.0078933,0.0039069,0.0031289
115,0.0073849,0.0038486,0.0032448
116,0.0075179,0.0039744,0.0032035
117,0.007447,0.0040513,0.0031329
118,0.0077445,0.0042745,0.0031495
119,0.0074987,0.0039454,0.0032431
120,0.0074307,0.0039291,0.0032325
121,0.0076517,0.0040303,0.0033292
122,0.0075378,0.0040114,0.0032073
123,0.0078207,0.0040034,0.0033744
124,0.0075609,0.0038484,0.0032462
125,0.0074737,0.0039961,0.0032076
126,0.0074264,0.0040462,0.0031086
127,0.0075185,0.0039674,0.0032635
128,0.0074545,0.0039034,0.0032561
129,0.0074909,0.0039692,0.0032317
130,0.0076947,0.0040395,0.0033203
131,0.0076478,0.0041236,0.0032097
132,0.007699,0.0040033,0.0033736
133,0.0075308,0.0040143,0.0032152
134,0.0074625,0.0040538,0.0031144
135,0.0074925,0.0040203,0.0031613
136,0.0075906,0.003986,0.0033022
137,0.0075638,0.004113,0.0031654
138,0.0077928,0.0040884,0.0031688
139,0.0077122,0.0040037,0.0033918
140,0.0077206,0.0040385,0.0033831
141,0.0075048,0.00404,0.0031571
142,0.0079687,0.004059,0.0032383
143,0.0074836,0.0039605,0.0032336
144,0.0073969,0.003921,0.0032126
145,0.0078833,0.0043693,0.0031819
146,0.0077306,0.0040323,0.0033752
147,0.0074659,0.0039503,0.0032177
148,0.0075916,0.0040089,0.0032964
149,0.0075325,0.004048,0.0031856
150,0.007665,0.004071,0.003287
151,0.007466,0.0039897,0.003177
152,0.0075241,0.00395,0.0033021
153,0.0075396,0.0040395,0.0032055
154,0.0076626,0.0040204,0.0033527
155,0.0076843,0.0039571,0.0034072
156,0.0075234,0.004044,0.0031871
157,0.0074186,0.0040177,0.0031641
158,0.0075977,0.0040516,0.0032552
159,0.007562,0.0039822,0.0032399
160,0.0073838,0.0039249,0.0031869
161,0.0075447,0.00411,0.0031353
162,0.0076354,0.0040199,0.0032359
163,0.0075831,0.0039582,0.0033141
164,0.0074947,0.0039195,0.0032892
165,0.0075503,0.004027,0.00322
166,0.0076722,0.004032,0.0033109
167,0.0076275,0.0039618,0.0033396
168,0.0075474,0.0039733,0.0032628
169,0.0074319,0.00401,0.0031283
170,0.0076505,0.0040465,0.0032971
171,0.0076486,0.0040223,0.003297
172,0.0073874,0.0039118,0.003204
173,0.0074262,0.0040047,0.0031009
174,0.0075179,0.0040037,0.0032304
175,0.0077414,0.0040122,0.0034277
176,0.0074165,0.0039397,0.0031976
177,0.0074594,0.0039304,0.0032092
178,0.0075852,0.0040515,0.0032118
179,0.0076027,0.0040741,0.0032838
180,0.0076201,0.004069,0.0031849
181,0.0074594,0.0039639,0.0032218
182,0.0073809,0.0040213,0.0030925
183,0.0076194,0.004062,0.0031861
184,0.0074495,0.0039608,0.0031861
185,0.0075723,0.0040085,0.0032829
186,0.0074532,0.0040402,0.0031452
187,0.0075712,0.0040569,0.0032152
188,0.007604,0.0040176,0.0032637
189,0.0075663,0.0039729,0.0033107
190,0.0073574,0.0040414,0.0030784
191,0.0078049,0.0041436,0.0033129
192,0.0075206,0.0039553,0.0032801
193,0.007485,0.0039593,0.0032329
194,0.0075822,0.0040804,0.0031969
195,0.0076009,0.0040574,0.0032466
196,0.0075346,0.0040069,0.0032213
197,0.0076183,0.0040172,0.003339
198,0.0075541,0.0040737,0.0031625
199,0.0076726,0.0040594,0.0033106
200,0.0075045,0.004004,0.0032066
201,0.0074218,0.0040169,0.0031357
202,0.0074936,0.0040651,0.0031101
203,0.0076178,0.0041,0.0032116
204,0.0074542,0.0039614,0.0031793
205,0.007423,0.0039238,0.0032335
206,0.0074376,0.0040417,0.0030818
207,0.0077431,0.0040648,0.0032887
208,0.0075501,0.0039243,0.0032522
209,0.0074069,0.0039314,0.0032172
210,0.0075244,0.0040616,0.0031877
211,0.0079389,0.0043625,0.0032567
212,0.0075815,0.0040089,0.0032765
213,0.0078762,0.0042968,0.0032987
214,0.0074449,0.0040084,0.0031375
215,0.0075449,0.004044,0.003184
216,0.0074688,0.0039731,0.0032021
217,0.0075646,0.0040896,0.0031553
218,0.0075341,0.0041004,0.0031449
219,0.0076556,0.003999,0.0033416
220,0.0076884,0.0039642,0.0033285
221,0.0074395,0.0040253,0.0031354
222,0.0074546,0.0040297,0.0031589
223,0.0076816,0.004057,0.0031877
224,0.0074617,0.0039334,0.0032655
225,0.0074573,0.0039522,0.0032292
226,0.0075315,0.0040297,0.0032198
227,0.0075543,0.0040147,0.0031579
228,0.0075771,0.0039659,0.0033149
229,0.0073911,0.0039177,0.0031777
230,0.0075018,0.0040314,0.0031926
231,0.0074546,0.00405,0.0030814
232,0.0076454,0.0040161,0.0033258
233,0.007483,0.0039411,0.0032407
234,0.0074625,0.0039549,0.0032171
235,0.0074563,0.0040591,0.0031158
236,0.0075625,0.0040911,0.003179
237,0.007534,0.003967,0.0032782
238,0.0075547,0.0039738,0.0032939
239,0.0074075,0.004044,0.0030849
240,0.0075886,0.004038,0.0032759
241,0.0079307,0.0039784,0.0036025
242,0.0074926,0.0039366,0.0032623
243,0.0076377,0.0040708,0.0032732
244,0.007697,0.0041499,0.0032746
245,0.0075792,0.0039731,0.0032962
246,0.0075052,0.0039028,0.0032104
247,0.0075541,0.0040627,0.003191
248,0.0075628,0.0040333,0.0032244
249,0.0077127,0.0039271,0.0032282
250,0.0082013,0.0039797,0.0032871
251,0.0075805,0.0039006,0.0033105
252,0.0075338,0.0039484,0.003311
253,0.0081155,0.0040161,0.0032025
254,0.0073525,0.0038914,0.00317
255,0.0076745,0.0040507,0.0032905
256,0.0075596,0.0039737,0.003302
257,0.0075542,0.0039814,0.0032719
258,0.0075566,0.0040717,0.0032124
259,0.0076133,0.0040351,0.0032535
260,0.00752,0.0039635,0.0032817
261,0.0076143,0.0040213,0.0032939
262,0.0074672,0.003995,0.0031902
263,0.0078496,0.0040769,0.0033893
264,0.0075059,0.0039372,0.0032699
265,0.007737,0.0039683,0.0034126
266,0.0076062,0.0041007,0.0031994
267,0.0075269,0.0040512,0.0031723
268,0.0074857,0.003977,0.0031986
269,0.0075295,0.0039583,0.0033018
270,0.0075045,0.0040467,0.0031658
271,0.0075754,0.0040763,0.0031917
272,0.0076762,0.0039468,0.003419
273,0.0075658,0.0039911,0.0032855
274,0.0074972,0.0040444,0.0031324
275,0.007694,0.0040171,0.0033807
276,0.0075412,0.0039875,0.0032296
277,0.0075023,0.0039491,0.0032668
278,0.0075347,0.0040535,0.0030788
279,0.0076405,0.004046,0.0032914
280,0.0074374,0.0039403,0.0031923
281,0.0075593,0.0040301,0.0032424
282,0.0074889,0.0040239,0.0031702
283,0.0082766,0.004069,0.0032701
284,0.0075201,0.0038348,0.0033419
