Frame,DeltaTime,ComputeTime,RenderTime
0,0.0010774,0.0006583,0.0001675
1,0.0008965,0.0005165,0.0001649
2,0.0009476,0.0005802,0.0001677
3,0.000849,0.0004954,0.0001679
4,0.000818,0.000466,0.0001652
5,0.0008207,0.0004725,0.000163
6,0.0008675,0.0004568,0.0001982
7,0.0009153,0.0005534,0.0001661
8,0.0009303,0.0005895,0.000145
9,0.0009027,0.0005449,0.0001679
10,0.0008328,0.0004799,0.0001668
11,0.000926,0.0005396,0.0001568
12,0.0009003,0.0005334,0.0001643
13,0.0009234,0.0005608,0.0001664
14,0.0008682,0.000499,0.0001733
15,0.0009017,0.0005493,0.0001659
16,0.0008296,0.0004775,0.0001661
17,0.0008154,0.0004639,0.0001663
18,0.0008163,0.0004644,0.0001655
19,0.0008181,0.0004644,0.000165
20,0.000854,0.0004592,0.0002074
21,0.0009602,0.000593,0.0001669
22,0.000892,0.0005361,0.0001668
23,0.0008281,0.0004767,0.0001655
24,0.0008202,0.0004709,0.0001647
25,0.0008149,0.0004576,0.000171
26,0.0021964,0.0004604,0.0001918
27,0.0010082,0.0006118,0.0001692
28,0.0008803,0.0005168,0.0001694
29,0.0008423,0.000492,0.0001633
30,0.0008384,0.0004841,0.0001638
31,0.0008669,0.0004937,0.0001657
32,0.0008452,0.0004902,0.0001633
33,0.000996,0.0006072,0.000165
34,0.0008809,0.0005148,0.0001658
35,0.0008656,0.0005141,0.000165
36,0.0008382,0.0004746,0.0001784
37,0.0008545,0.0004976,0.0001637
38,0.0008265,0.0004766,0.0001649
39,0.0014237,0.0010467,0.0001687
40,0.000936,0.0005766,0.0001643
41,0.0016142,0.001258,0.0001658
42,0.0008748,0.0005233,0.0001646
43,0.0008544,0.0005053,0.0001638
44,0.0008218,0.0004726,0.0001636
45,0.00088,0.0005193,0.0001658
46,0.0008996,0.0005367,0.0001707
47,0.0008672,0.0005178,0.0001635
48,0.0008226,0.000473,0.0001644
49,0.0008207,0.0004694,0.0001654
50,0.0008152,0.0004656,0.0001642
51,0.0008162,0.0004671,0.0001645
52,0.001058,0.0004667,0.0002054
53,0.0009486,0.0005922,0.0001656
54,0.0008838,0.0005196,0.0001677
55,0.0008278,0.0004734,0.0001635
56,0.0008174,0.0004652,0.0001652
57,0.0008492,0.0004957,0.0001641
