Frame,DeltaTime,ComputeTime,RenderTime
0,0.0029091,0.0011693,0.0014314
1,0.0032939,0.001283,0.0014525
2,0.003235,0.001403,0.0015543
3,0.0028453,0.0012315,0.0014103
4,0.0031597,0.0013376,0.001472
5,0.0028039,0.0011816,0.0014236
6,0.0042913,0.0013001,0.0015227
7,0.0030832,0.0013478,0.0014595
8,0.0030613,0.0014109,0.0014238
9,0.0028428,0.0012162,0.0014353
10,0.0028866,0.0013299,0.0013583
11,0.0028445,0.0012002,0.0013964
12,0.0028938,0.0012185,0.0014484
13,0.0029121,0.0012406,0.0014718
14,0.0029503,0.0012915,0.0014419
15,0.002795,0.0011929,0.001416
16,0.0029562,0.0012632,0.001437
17,0.0030697,0.0012904,0.0015202
18,0.0030008,0.0013257,0.001432
19,0.0028058,0.001195,0.0014071
20,0.0030087,0.0013907,0.0014229
21,0.0027488,0.001156,0.0014099
22,0.0030048,0.0012173,0.0014642
23,0.0028929,0.0012114,0.0014631
24,0.0036353,0.0012573,0.0014648
25,0.0032736,0.001141,0.0014288
26,0.0029457,0.0011483,0.0014634
27,0.0036308,0.0013614,0.0013857
28,0.0034868,0.0011924,0.0014487
29,0.0035495,0.0011463,0.0014555
30,0.0034743,0.0011971,0.0014058
31,0.0036205,0.0011499,0.0014366
32,0.0036466,0.0012935,0.0015363
33,0.0033645,0.0011643,0.0014306
34,0.0033726,0.0011654,0.0014445
35,0.0038926,0.001276,0.0014635
36,0.0040522,0.001152,0.0014056
37,0.0033966,0.0011813,0.0014464
38,0.003459,0.0011886,0.0014715
39,0.0033147,0.0011645,0.0014624
40,0.0040345,0.0011891,0.001426
41,0.0035939,0.0011676,0.0014373
42,0.0033584,0.0011716,0.0014476
43,0.0037636,0.0011826,0.0014287
44,0.0033517,0.0011694,0.0014432
45,0.0038878,0.0012322,0.0014615
46,0.0037834,0.00118,0.0014302
47,0.0035128,0.0011762,0.001492
48,0.0038768,0.0013069,0.001468
49,0.0040324,0.0011977,0.0014521
50,0.0038793,0.0012983,0.0015204
51,0.0039899,0.0012072,0.0016401
52,0.004576,0.0011927,0.0015053
53,0.0037975,0.0013683,0.0014721
54,0.0035359,0.0011578,0.0014745
55,0.0034185,0.001198,0.0014388
56,0.0037994,0.0011866,0.0014453
57,0.0047755,0.0011841,0.001421
58,0.0042571,0.0011979,0.0015387
59,0.0036457,0.0011917,0.0014379
60,0.0035783,0.0011704,0.0014764
61,0.0037692,0.0011816,0.0014552
62,0.0035196,0.0012049,0.0014825
63,0.0035877,0.0011575,0.0014828
64,0.0039145,0.0012156,0.001424
65,0.0030257,0.0012123,0.0014765
66,0.0036316,0.0014093,0.0014432
67,0.0028406,0.0011564,0.0014453
68,0.003613,0.0012538,0.0014547
69,0.0035104,0.0012044,0.0014719
70,0.0028326,0.0011716,0.0014567
71,0.0028792,0.0012186,0.0014311
72,0.0028583,0.0012455,0.0014227
73,0.00288,0.0012332,0.0014311
74,0.0028896,0.0012593,0.0014176
75,0.0029654,0.0012773,0.0014705
76,0.0028128,0.0012017,0.0014204
77,0.0029117,0.0012333,0.0014506
