Frame,DeltaTime,ComputeTime,RenderTime
0,0.0016493,0.0007514,0.0006685
1,0.0016658,0.0008025,0.0006363
2,0.0016364,0.0007494,0.0006897
3,0.0017598,0.0008536,0.0006523
4,0.001563,0.0007099,0.0006551
5,0.0016403,0.0007601,0.000676
6,0.0018881,0.0009441,0.0006848
7,0.0016121,0.0007723,0.0006422
8,0.0019914,0.0007573,0.0006677
9,0.0022797,0.0009215,0.0008055
10,0.0019789,0.0009889,0.0006645
11,0.0016286,0.0007652,0.0006603
12,0.0017167,0.0007267,0.0006968
13,0.0018684,0.0008066,0.0006644
14,0.0015429,0.0007022,0.0006387
15,0.0015412,0.0006896,0.0006613
16,0.001639,0.0007509,0.0006555
17,0.0024479,0.000906,0.0006592
18,0.0017489,0.0008478,0.0006609
19,0.0015675,0.0006845,0.0006759
20,0.0017657,0.0008823,0.0006774
21,0.0016491,0.0007929,0.0006557
22,0.0014933,0.0006724,0.0006377
23,0.0016381,0.0007431,0.0006445
24,0.0016792,0.000802,0.0006547
25,0.0014935,0.00067,0.0006396
26,0.0015736,0.0007268,0.0006443
27,0.0018597,0.000962,0.0006691
28,0.0015356,0.0006993,0.0006457
29,0.0015439,0.000702,0.0006384
30,0.0017452,0.0008656,0.0006773
31,0.0015957,0.0007361,0.000654
32,0.0015803,0.0007445,0.0006443
33,0.0015859,0.0007474,0.000647
34,0.0015693,0.0006839,0.0006647
35,0.0018882,0.0009734,0.0006821
36,0.0016341,0.0007937,0.000648
37,0.0015364,0.0007017,0.0006429
38,0.0016256,0.0007492,0.0006402
39,0.001614,0.0007613,0.0006575
40,0.0014928,0.0006689,0.0006252
41,0.001599,0.0007186,0.0006492
42,0.0016948,0.000756,0.0006828
43,0.0015363,0.0007019,0.0006432
44,0.0015623,0.0007292,0.00064
45,0.0016885,0.000791,0.0006765
46,0.0017438,0.000882,0.0006494
47,0.0016291,0.0007771,0.00065
48,0.0015851,0.0007439,0.000652
49,0.0016805,0.0007885,0.000655
50,0.0016611,0.0008075,0.0006454
51,0.0015884,0.0007567,0.0006438
52,0.0015235,0.0006808,0.0006559
53,0.0016086,0.0007198,0.000646
54,0.0016295,0.00077,0.0006546
55,0.0015377,0.0007053,0.0006425
56,0.0015354,0.0006909,0.0006391
57,0.0018841,0.000906,0.000733
58,0.0015704,0.0007202,0.0006566
59,0.0015146,0.0006889,0.0006387
60,0.0016173,0.000709,0.0006858
61,0.0016739,0.0008134,0.0006481
62,0.0015891,0.0007469,0.0006508
63,0.0015499,0.0007209,0.0006351
64,0.0016341,0.0008356,0.0005769
65,0.0018009,0.0009378,0.0006542
66,0.0016615,0.0007799,0.0006834
67,0.0015399,0.0006945,0.000658
68,0.0016926,0.000817,0.0006613
69,0.0015996,0.0007607,0.0006447
70,0.0015113,0.0006759,0.0006429
71,0.0016226,0.0006951,0.0006547
72,0.0016671,0.0008091,0.0006439
73,0.0017177,0.0007276,0.0006641
74,0.0016235,0.0007657,0.0006612
75,0.0016057,0.0007402,0.0006604
76,0.0016103,0.0007558,0.0006525
77,0.0015808,0.0007439,0.0006466
78,0.0015715,0.0007312,0.0006523
79,0.0015879,0.0007487,0.0005892
80,0.001549,0.0007145,0.0006401
81,0.0017817,0.0007169,0.0006515
82,0.0015172,0.0006712,0.000651
