Frame,DeltaTime,ComputeTime,RenderTime
0,0.0017097,0.0012554,0.0001815
1,0.0016898,0.0012785,0.0001679
2,0.0016704,0.0012767,0.0001936
3,0.0017147,0.0013065,0.0001629
4,0.0016389,0.001275,0.0001626
5,0.0016197,0.0012676,0.0001596
6,0.0017051,0.0013006,0.0001722
7,0.0016293,0.0012599,0.000163
8,0.0017047,0.001339,0.0001618
9,0.0017199,0.0013522,0.0001626
10,0.0017904,0.0013189,0.0001709
11,0.0016698,0.0012595,0.000165
12,0.0016593,0.0012943,0.0001625
13,0.0017532,0.0013654,0.0001645
14,0.0016976,0.0013182,0.0001625
15,0.0016709,0.001299,0.0001642
16,0.0016619,0.001291,0.0001681
17,0.0026112,0.0013803,0.0001805
18,0.0016672,0.0012661,0.0001653
19,0.0016596,0.001297,0.0001623
20,0.0017324,0.0013554,0.0001653
21,0.0016357,0.0012803,0.0001614
22,0.0016461,0.0012904,0.0001616
23,0.0016757,0.0012756,0.0001895
24,0.0016529,0.0012905,0.0001617
25,0.0016526,0.0013024,0.0001503
26,0.0016472,0.0012921,0.000161
27,0.0020635,0.0013336,0.0001738
28,0.0016748,0.0012744,0.000167
29,0.0016423,0.0012893,0.0001612
30,0.0016721,0.0012742,0.0001611
31,0.001659,0.001302,0.0001618
32,0.0016661,0.00131,0.0001611
33,0.0016677,0.001302,0.0001634
34,0.0016876,0.0013117,0.0001633
35,0.0016633,0.0013034,0.0001629
36,0.0016304,0.00128,0.00016
37,0.0016357,0.001276,0.0001603
38,0.0017132,0.0013396,0.0001677
39,0.0016295,0.0012662,0.000161
40,0.0017778,0.0014006,0.0001609
41,0.001672,0.0012894,0.000183
42,0.0016694,0.0013092,0.0001628
43,0.0017046,0.0012993,0.0001621
44,0.0016479,0.0012928,0.0001614
45,0.0022941,0.0013367,0.0001897
46,0.0016608,0.0012706,0.0001626
47,0.0021679,0.0012761,0.0001672
48,0.0017072,0.0013062,0.0001664
49,0.0021851,0.0013203,0.000166
50,0.0021267,0.0012495,0.0001642
51,0.0017084,0.0013148,0.0001646
52,0.0020599,0.0012664,0.0001614
53,0.0022026,0.001273,0.0001644
54,0.0017787,0.0013535,0.0001646
55,0.0023345,0.0012805,0.0001618
56,0.0021161,0.0012841,0.0001658
57,0.0016781,0.0012782,0.0001641
58,0.0020608,0.001267,0.0001662
59,0.0022908,0.0012886,0.0001635
60,0.0022821,0.0012912,0.0001703
61,0.0020991,0.0012862,0.0001651
62,0.0020371,0.0012566,0.0001634
63,0.0021836,0.0012559,0.0001679
64,0.0021248,0.0012621,0.000163
65,0.0021171,0.0013402,0.0001633
66,0.0022239,0.0013021,0.0001658
67,0.0024768,0.0012515,0.0001675
68,0.0025414,0.0013404,0.000169
69,0.0028397,0.0013019,0.0001672
70,0.002163,0.0012948,0.0001659
71,0.0024866,0.0012898,0.0001665
72,0.0021752,0.0012804,0.0001914
73,0.0021551,0.0012676,0.0001659
74,0.0021976,0.0013107,0.0001654
75,0.0021081,0.0012906,0.0001652
76,0.0026821,0.0012979,0.000167
77,0.0021275,0.0012945,0.0001698
78,0.002219,0.0012937,0.0001522
79,0.0023728,0.0012768,0.0001615
80,0.0020646,0.0012372,0.000161
81,0.0021797,0.0013004,0.0001994
82,0.0022258,0.0013024,0.0001641
83,0.0024096,0.0012745,0.0001573
84,0.0023522,0.0013695,0.000182
85,0.0022601,0.0012699,0.0001668
86,0.0025064,0.0012913,0.0001678
87,0.0022147,0.0013159,0.0001768
88,0.0021399,0.0012766,0.0001676
89,0.0022303,0.0012924,0.0001667
90,0.0025271,0.0012884,0.000168
91,0.0025091,0.0014294,0.0001702
92,0.0024274,0.0012839,0.0001611
93,0.0021848,0.0013081,0.0001682
94,0.0022782,0.0013011,0.0001683
95,0.0025002,0.0012844,0.0001653
96,0.0025561,0.0013281,0.0001664
97,0.0027175,0.00129,0.0001622
98,0.0021563,0.0013071,0.0001711
99,0.0026837,0.0012986,0.0001822
100,0.0021372,0.0012807,0.0001668
101,0.0022532,0.0012934,0.0001664
102,0.0023484,0.0013321,0.0001837
103,0.0021743,0.001291,0.0001724
104,0.002462,0.0012932,0.0001684
105,0.0026118,0.0012991,0.0001684
106,0.0021723,0.0012963,0.0001657
107,0.0022738,0.0012843,0.0001654
108,0.0024773,0.0012728,0.000163
109,0.0023343,0.0013372,0.0001696
110,0.0021697,0.0012733,0.0001668
111,0.0020687,0.0012828,0.0001652
112,0.0016664,0.001285,0.0001629
113,0.0020799,0.0012739,0.0001645
114,0.0021244,0.0012819,0.0001657
115,0.0016329,0.0012695,0.0001648
116,0.0018934,0.0014892,0.000168
117,0.0022539,0.0013128,0.0001544
118,0.0016451,0.0012685,0.0001644
119,0.0016551,0.0012731,0.0001618
120,0.0016179,0.0012724,0.0001599
121,0.0016061,0.0012629,0.000159
122,0.0016213,0.0012689,0.0001606
123,0.0016438,0.0012816,0.0001595
124,0.0017807,0.0012876,0.0001635
125,0.0016216,0.0012705,0.000159
126,0.0016241,0.0012697,0.0001585
127,0.0016174,0.001269,0.0001609
128,0.0016046,0.0012584,0.0001635
129,0.0019322,0.0012696,0.0001602
130,0.0017384,0.0013509,0.0001652
131,0.0016499,0.0012751,0.0001785
132,0.0016865,0.001302,0.0001515
133,0.0017024,0.0013333,0.0001646
134,0.0016951,0.0013259,0.0001636
135,0.0016407,0.0012779,0.0001606
136,0.0016359,0.0012841,0.0001603
137,0.0017142,0.0013116,0.0001749
138,0.0016418,0.0012797,0.0001623
139,0.0017482,0.0012893,0.0001697
140,0.0022482,0.0012837,0.0001622
141,0.0016657,0.001293,0.0001643
142,0.0016556,0.0012834,0.0001682
143,0.0016599,0.0012886,0.000169
144,0.0017024,0.0013152,0.0001776
145,0.0016593,0.0012842,0.0001678
146,0.0019468,0.0012836,0.0001633
