Frame,DeltaTime,ComputeTime,RenderTime
0,0.0605427,0.0590337,0.0011438
1,0.0619819,0.0604914,0.0011544
2,0.0632156,0.0617133,0.0011775
3,0.0623063,0.060811,0.0011676
4,0.0626797,0.0611915,0.0011555
5,0.062477,0.0610622,0.0010869
6,0.0622714,0.0607209,0.0011542
7,0.061886,0.0604005,0.0011347
8,0.0615702,0.0601734,0.0010651
9,0.0624179,0.0610041,0.0010885
10,0.062931,0.0607696,0.0011443
11,0.0625418,0.0605976,0.0010587
12,0.0620072,0.0600049,0.0011476
13,0.0621876,0.0607199,0.0011167
14,0.0626327,0.0611907,0.0010904
15,0.0623421,0.0609626,0.0010573
16,0.0626738,0.0609287,0.001135
17,0.062861,0.0614187,0.0011104
18,0.0632419,0.0611834,0.001084
19,0.061396,0.059932,0.0011447
20,0.0628432,0.0611686,0.0012501
21,0.0634326,0.0619304,0.0011667
22,0.0626181,0.0609695,0.0012348
23,0.0628206,0.0613053,0.0011935
24,0.063494,0.0620081,0.0011575
25,0.0630457,0.0614392,0.0012668
26,0.0627663,0.0612767,0.0011656
27,0.0627615,0.0612192,0.0011403
28,0.0635345,0.0619488,0.0011844
29,0.0627439,0.060959,0.001152
30,0.0621356,0.0600436,0.0011219
31,0.0626343,0.0611029,0.0011571
32,0.0626705,0.0611989,0.0011447
33,0.0625018,0.0610533,0.0011303
34,0.0628171,0.0613376,0.0011398
35,0.063157,0.0615511,0.0011528
36,0.0627669,0.0610581,0.0011523
37,0.0627523,0.061215,0.001167
38,0.0625825,0.0611868,0.0010635
39,0.0627987,0.0613916,0.001059
40,0.062447,0.061037,0.001078
41,0.0622914,0.0609296,0.0010416
42,0.0623974,0.060915,0.001131
43,0.0615133,0.0601116,0.0010755
44,0.0611961,0.0596844,0.0011867
45,0.0614071,0.0599705,0.0011205
46,0.0612733,0.0598397,0.0011101
47,0.0620107,0.0605483,0.0011179
48,0.0615452,0.060089,0.0011415
49,0.0615376,0.0600892,0.0011258
50,0.0748124,0.0729898,0.0012111
51,0.0723081,0.0707154,0.0012376
52,0.0686233,0.0672024,0.0010534
53,0.0628995,0.0614305,0.0011264
54,0.0624762,0.0610325,0.0011057
55,0.0619295,0.0604553,0.0011447
56,0.0618749,0.0604471,0.0011049
57,0.0619287,0.0604264,0.0011567
58,0.0625209,0.0610811,0.0011043
59,0.0618283,0.0603557,0.0011133
60,0.0618801,0.0604176,0.0011285
61,0.0619166,0.060447,0.0011498
62,0.0625608,0.0610612,0.0011544
63,0.0618941,0.060277,0.0011221
64,0.0615726,0.0598034,0.0011321
65,0.0627322,0.0613205,0.0010783
66,0.0624188,0.0608491,0.0012338
67,0.0626178,0.0611588,0.001134
68,0.0623168,0.0608429,0.0011507
69,0.0627854,0.0613065,0.0011264
70,0.0618316,0.0603736,0.0011146
71,0.0624148,0.060892,0.0011776
72,0.0621454,0.0603852,0.0011285
73,0.0624914,0.0610375,0.0010767
74,0.061438,0.0598905,0.0011545
75,0.0616349,0.0601654,0.0011463
76,0.0622159,0.0607165,0.0011622
77,0.0625888,0.0610955,0.0011609
78,0.0624281,0.0609612,0.0011501
79,0.0617316,0.0602969,0.0011088
80,0.0629384,0.0614569,0.0011183
81,0.0619837,0.0602513,0.0011123
82,0.0614251,0.0599262,0.0011466
83,0.0618489,0.0603554,0.0011538
84,0.062755,0.0613255,0.0011043
85,0.0618026,0.060289,0.0011501
86,0.0620891,0.0606243,0.0011179
87,0.0618414,0.0603693,0.0011513
88,0.0612843,0.0598292,0.0011297
89,0.0619235,0.0604453,0.0011435
90,0.0620341,0.0606174,0.0010806
91,0.062627,0.0607276,0.001148
92,0.0618897,0.0604093,0.001142
93,0.061886,0.060384,0.0011528
94,0.0618469,0.060381,0.0011496
95,0.0625715,0.0610749,0.0011613
96,0.0626232,0.0611763,0.0011164
97,0.0608626,0.0594454,0.0010854
98,0.0611024,0.0596342,0.0011335
99,0.0624518,0.0609754,0.0011418
100,0.0618336,0.060445,0.0010586
101,0.0619348,0.0605188,0.0010885
102,0.0621221,0.0607154,0.0010661
103,0.062859,0.0613956,0.0011286
104,0.0623122,0.0608748,0.0011129
105,0.0625101,0.0610471,0.0011348
106,0.0618432,0.0604453,0.0010444
107,0.0626778,0.0612024,0.0011506
108,0.0621542,0.0607742,0.0010659
109,0.0614771,0.0599871,0.0011603
110,0.0624168,0.0609736,0.0011093
111,0.0630656,0.0616317,0.0011101
112,0.0625854,0.0608943,0.0012454
113,0.0621882,0.0607226,0.0011319
114,0.0623121,0.0608368,0.0011408
115,0.0624215,0.060976,0.0011302
116,0.063141,0.0615948,0.0011804
117,0.0619349,0.0604796,0.0011432
118,0.0628317,0.0614451,0.0010436
119,0.0626506,0.0611379,0.0011374
120,0.0627446,0.0612991,0.0011148
121,0.0633581,0.0618956,0.0011312
122,0.0626943,0.0611518,0.0011897
123,0.0626461,0.0612104,0.001107
124,0.0624523,0.0608726,0.0011034
125,0.0613061,0.0598741,0.0011015
126,0.0628105,0.0613125,0.0011639
127,0.0624033,0.0609914,0.0010854
128,0.0623837,0.0609654,0.0010972
129,0.0626133,0.0611332,0.0011371
130,0.0622689,0.0608779,0.0010661
131,0.0624009,0.0609711,0.0011078
132,0.0624944,0.0610505,0.0010924
133,0.0627907,0.0612802,0.0011756
134,0.0617171,0.0602438,0.0011274
135,0.0633135,0.061717,0.0012341
136,0.0625997,0.0610452,0.0012096
137,0.0633339,0.0617256,0.0011527
138,0.0640615,0.062634,0.0010843
139,0.0623168,0.0609348,0.0010468
140,0.0619229,0.0604522,0.0011356
141,0.0614801,0.0600319,0.0011227
142,0.0625444,0.061055,0.0011566
143,0.0614747,0.0600144,0.0011407
144,0.0621836,0.0607627,0.0010964
145,0.0615657,0.0601379,0.001099
146,0.0614731,0.0601035,0.0010467
147,0.0618523,0.0604418,0.0010912
148,0.0625802,0.0611087,0.0011331
149,0.06214,0.0607001,0.0010976
150,0.0621123,0.0606173,0.0011698
151,0.0631757,0.061734,0.001111
152,0.0623869,0.0609116,0.0011417
153,0.0623171,0.0609081,0.0010892
154,0.0620337,0.0606001,0.0011198
155,0.0622913,0.0608976,0.0010602
156,0.0630993,0.0614914,0.0011471
157,0.0621067,0.0606807,0.001105
158,0.0620458,0.0605772,0.0011331
159,0.0624583,0.0610083,0.0011413
160,0.0625707,0.0610622,0.0011871
161,0.0620482,0.0606332,0.0010764
162,0.062392,0.0609468,0.001108
163,0.0622423,0.0607709,0.0011502
164,0.0624198,0.0609659,0.0011401
165,0.0616513,0.0601271,0.0011239
166,0.0617466,0.0602402,0.001109
167,0.0630098,0.0614939,0.0011286
168,0.0621841,0.0606807,0.0011483
169,0.0625455,0.0610648,0.0011571
170,0.0625984,0.0611087,0.0011582
171,0.063232,0.0617151,0.0011691
172,0.0621309,0.0606707,0.001129
173,0.0632626,0.0617584,0.001166
174,0.0634133,0.0619419,0.0011429
175,0.0624652,0.0609326,0.0011989
176,0.0626055,0.0611656,0.0010949
177,0.0618341,0.0603601,0.0011515
178,0.0627129,0.0612559,0.001124
179,0.0617062,0.0602774,0.0010903
180,0.0620008,0.060569,0.001116
181,0.0617132,0.0602503,0.0011278
182,0.0689491,0.0675343,0.0010735
183,0.0624896,0.0610238,0.0011336
184,0.0643325,0.0628576,0.0011472
185,0.0624745,0.0609605,0.0010999
186,0.0624612,0.0610389,0.0010898
187,0.0617828,0.0603573,0.0011153
188,0.062144,0.0607296,0.0010874
189,0.0623696,0.0609678,0.0010824
